,título,título_original,año,duración,país,dirección,guion,reparto,productora,género,sinopsis,premios,puntuación_fa,votos_fa,puntuación_positiva,puntuación_neutral,puntuación_negativa,portada_url,portada_local,puntuación_imdb,votos_imdb
422,El Dorado,El Dorado,1966,126 min.,Estados Unidos,Howard Hawks,Leigh Brackett (Novela: Harry Brown),"John Wayne, Robert Mitchum, James Caan, Charlene Holt, Paul Fix, John Gabriel, Arthur Hunnicutt, R.G. Armstrong, Michele Carey, Ed Asner, Marina Ghane, Christopher George, Robert Rothwell, Robert Donner, Adam Roarke, Jim Davis, Anne Newman, Victoria George, Diane Strom, Johnny Crawford, Olaf Wieghorst",Paramount Pictures,Western | Amistad. Buddy Film,"Un pistolero llamado Cole Thornton (John Wayne) acude a El Dorado por encargo de poderoso terrateniente, Bart Jason. El cacique le ofrece un trabajo: expulsar de unas tierras próximas a una familia de granjeros, los McDonald. Thornton acaba rechazando el encargo a instancias de Jean Paul Harrah (Robert Mitchum), el sheriff de El Dorado y viejo amigo de Cole. Tiempo después, Thornton se entera de que otro pistolero ha aceptado el trabajo que él rechazó, asi que decide regresar al pueblo para defender a los granjeros y ayudar a su amigo Harrah, que tiene problemas con la bebida. Le acompaña Mississippi (James Caan), un joven habilidoso con el cuchillo. (FILMAFFINITY)",,7.8,12791,5,0,0,https://pics.filmaffinity.com/el_dorado-352351906-mmed.jpg,../images/ElDorado1966.jpg,7.6,24636
423,Winchester 73,Winchester '73,1950,92 min.,Estados Unidos,Anthony Mann,"Robert L. Richards, Borden Chase","James Stewart, Shelley Winters, Dan Duryea, Stephen McNally, Charles Drake, Millard Mitchell, John McIntire, Jay C. Flippen, Will Geer, Rock Hudson, Tony Curtis",Universal Pictures,Western | Venganza. Amistad. Familia,"Dos jinetes llegan a Dodge City persiguiendo a un hombre. Es el Día de la Independencia, y la gente se arremolina en torno al premio del concurso de tiro, un rifle único: el Winchester 73. Lin McAdam, uno de los forasteros, gana el concurso, pero uno de sus contrincantes se lo roba y huye. El rifle va pasando de mano en mano: de un traficante de armas a un jefe indio y después a un forajido. Mientras tanto, continúa la persecución. (FILMAFFINITY)",['1950: Sindicato de Guionistas (WGA): Nominada a Mejor guión Western'],7.8,6308,9,0,0,https://pics.filmaffinity.com/winchester_73-615715975-mmed.jpg,../images/Winchester731950.jpg,7.6,16957
424,Z,Z,1969,127 min.,Argelia,Costa-Gavras,Jorge Semprún (Novela: Vasilis Vasilicós),"Yves Montand, Jean-Louis Trintignant, Irene Papas, Jacques Perrin, François Périer, Pierre Dux, Charles Denner, Marcel Bozzuffi, Magali Noël, Renato Salvatori, Georges Géret","Co-production Argelia-Francia; Reggane Films, O.N.C.I.C, Valoria Films",Drama | Política. Crimen. Basado en hechos reales,"En un país regido por una corrupta democracia, donde el gobierno utiliza a la Policía y al Ejército para erradicar cualquier amenaza izquierdista, un diputado de la oposición es asesinado en plena calle cuando acababa de presidir un mitin de carácter pacifista. De la investigación del caso se encarga un joven magistrado, consciente de que se trata de un crimen político cometido por dos sicarios a sueldo. Al mismo tiempo, un ambicioso periodista se servirá de métodos poco ortodoxos para acumular pruebas que inculpen a varios militantes de un partido de extrema derecha, los cuales, a su vez, atribuyen la responsabilidad del atentado a altos cargos de la policía y del ejército. (FILMAFFINITY)","['1969: 2 Oscar: Mejor película de habla no inglesa, montaje. 5 nominaciones', '1969: Globos de oro: Mejor película extranjera', '1969: Premios BAFTA: Mejor música. 4 nominaciones incluyendo mejor película', '1969: Festival de Cannes: Premo del Jurado y Mejor actor (Jean-Louis Trintignant)', '1969: Círculo de Críticos de Nueva York: Mejor película y mejor director', '1969: Sindicato de Directores (DGA): Nominada a Mejor director']",7.8,5630,10,0,0,https://pics.filmaffinity.com/z-622792801-mmed.jpg,../images/Z1969.jpg,8.3,24225
425,Masacre: Ven y mira,Idi i smotri (Come and See),1985,136 min.,Unión Soviética (URSS),Elem Klimov,"Elem Klimov, Ales Adamovich","Alexei Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas, Victor Lorents","Mosfilm, Belarusfilm",Bélico. Drama | II Guerra Mundial. Nazismo. Holocausto. Drama psicológico. Basado en hechos reales,"Película de encargo para celebrar el 40 aniversario de la victoria aliada en la Segunda Guerra Mundial. Relata, a través de los ojos de un niño progresivamente endurecido por el sufrimiento, la matanza sistemática de los habitantes de las aldeas bielorrusas, más de 600, durante la guerra. (FILMAFFINITY)","['1985: Festival Internacional de Moscú: Premio Fipresci, Premio de Oro']",7.8,4989,9,2,0,https://pics.filmaffinity.com/idi_i_smotri_come_and_see-911135163-mmed.jpg,../images/MasacreVenymira1985.jpg,8.3,61216
426,Mamma Roma,Mamma Roma,1962,110 min.,Italia,Pier Paolo Pasolini,Pier Paolo Pasolini (Diálogos: Antonio Vivaldi),"Anna Magnani, Franco Citti, Ettore Garofolo, Silvana Corsini, Luisa Orioli, Paolo Volponi, Luciano Gonini, Vittorio La Paglia",Arco Film Roma,Drama | Prostitución. Neorrealismo,"Mamma Roma es una prostituta que sueña con un bienestar pequeño-burgués. Tras la boda de su protector, se traslada con su hijo Héctor a un barrio decente, donde regenta un puesto de frutas en el mercadillo popular. Héctor es un muchacho de carácter débil e influenciable que se deja arrastrar por los amigos y se enamora de Bruna, una chica que lo inicia en los secretos del amor. (FILMAFFINITY)",['1962: Festival de Venecia: Nominada al León de Oro. 2 premios'],7.8,3322,,,,https://pics.filmaffinity.com/mamma_roma-280931335-mmed.jpg,../images/MammaRoma1962.jpg,7.8,8419
427,La vergüenza,Skammen,1968,99 min.,Suecia,Ingmar Bergman,Ingmar Bergman,"Liv Ullmann, Max von Sydow, Sigge Fürst, Gunnar Björnstrand, Birgitta Valberg, Hans Alfredson, Ingvar Kjellson, Vilgot Sjöman",Svensk Filmindustri (SF),Drama. Bélico | Ejército,"Huyendo de la guerra civil que asola su país, Jan y Eva Rosenberg, dos músicos, se van a vivir a una isla, completamente apartados del mundo. Llevan una vida sencilla y apacible, preocupados únicamente por la música. Hasta que un día llegan unos soldados y todo cambia radicalmente. La pareja es arrestada bajo la acusación de colaborar con las fuerzas rebeldes. Al frente de la unidad militar que tiene la misión de defender la isla está el coronel Jacobi, un antiguo amigo de Jan y Eva. Pero esto no hará más que empeorar la situación. Con ciega brutalidad, la guerra sigue su curso con su cortejo de incendios de napalm, de sumarias ejecuciones, de redadas, de torturas. (FILMAFFINITY)","['1968: Globos de Oro: Nominada a Mejor película de habla no inglesa', '1970: NBR - National Board of Review: Mejor película de habla no inglesa', '1969: NBR - National Board of Review: Nominada a Mejor actriz (Liv Ullmann)', '1969: Premios Guldbagge (Suecia): Mejor actriz (Liv Ullmann)', '1968: National Society of Film Critics Awards: mejor película, director, actriz', '1968: Círculo de Críticos de Nueva York: Nominada a mejor película extranjera']",7.8,2964,3,2,0,https://pics.filmaffinity.com/skammen-854259687-mmed.jpg,../images/Lavergenza1968.jpg,8.0,12543
428,La última orden,The Last Command,1928,88 min.,Estados Unidos,Josef von Sternberg,"John F. Goodrich, Herman J. Mankiewicz (Historia: Josef von Sternberg, Lajos Biro)","Emil Jannings, Evelyn Brent, William Powell, Jack Raymond, Nicholas Soussanin, Michael Visaroff, Fritz Feld, Guy Oliver, Harry Cording, Harry Semels, Sam Savitsky",Paramount Pictures,Drama | Cine mudo. Revolución Rusa. Cine dentro del cine,"La Última Orden se inspira en una historia supuestamente real, que se atribuye a Ernst Lubitsch. Su protagonista es un aristócrata zarista arruinado que, tras la Revolución Soviética, acaba recalando en Hollywood, donde trabaja como extra en una película que narra los convulsos días de la Revolución de 1917, y en la que encarna a un personaje cuya vida es idéntica a la suya. Esta extraña e insólita situación hace que afloren a su memoria los recuerdos del pasado. (FILMAFFINITY)",['1927: Oscar: Mejor actor principal (Emil Jannings). 2 nominaciones'],7.8,800,6,0,0,https://pics.filmaffinity.com/the_last_command-410845125-mmed.jpg,../images/Laltimaorden1928.jpg,8.0,3445
429,The Stanley Parable,The Stanley Parable,2013,,Estados Unidos,Davey Wreden,"William Pugh, Davey Wreden",Animación,Galactic Cafe,Animación. Comedia. Fantástico | Surrealismo. Película interactiva. Videojuego,"Una voz omnipotente trata de contar la historia de Stanley, un oficinista silente que un día, de la nada, descubre que todo el mundo en su lugar de trabajo ha desaparecido. Pero si Stanley trata de desobedecer al narrador, comenzará a pasar cosas que escapan a su control, creando momentos imprevisibles.",,7.8,234,,,,https://pics.filmaffinity.com/the_stanley_parable-637694583-mmed.jpg,../images/TheStanleyParable2013.jpg,,
430,Eduardo Manostijeras,Edward Scissorhands,1990,98 min.,Estados Unidos,Tim Burton,Caroline Thompson,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, Alan Arkin, Kathy Baker, Vincent Price, Caroline Aaron, Robert Oliveri, Conchata Ferrell, Dick Anthony Williams, O-Lan Jones, Susan Blommaert, John Davidson, Biff Yeager, Bryan Larkin, John McMahon, Victoria Price, Stuart Lancaster, Aaron Lustig, Alan Fudge, Steven Brill, Peter Palmer, Marc Macaulay, Brett Rice, Donna Pieroni",20th Century Fox (Productor: Tim Burton),Fantástico. Drama. Romance | Película de culto. Drama romántico,"Durante una noche de Navidad, una anciana le cuenta a su nieta la historia de Eduardo Manostijeras (Johnny Depp), un muchacho creado por un extravagante inventor (Vincent Price) que no pudo acabar su obra, dejando al joven con cuchillas en lugar de dedos. (FILMAFFINITY)","['1990: Nominada al Oscar: Mejor maquillaje', '1990: Globos de Oro: Nominada a Mejor actor comedia o musical (Johnny Depp)', '1990: Círculo de Críticos de Nueva York: Nominada a mejor fotografía', '1990: Asociación de Críticos de Los Angeles: Nominada a Mejor actriz sec. (Wiest)', '1991: Premios BAFTA: Mejor diseño de producción. 4 nominaciones', '1990: Asociación de Críticos de Chicago: Nom. a Mejor actriz secundaria (Wiest)']",7.8,117285,9,1,1,https://pics.filmaffinity.com/edward_scissorhands-367797250-mmed.jpg,../images/EduardoManostijeras1990.jpg,7.9,450849
431,1917,1917,2019,119 min.,Reino Unido,Sam Mendes,"Sam Mendes, Krysty Wilson-Cairns","George MacKay, Dean-Charles Chapman, Mark Strong, Richard Madden, Benedict Cumberbatch, Colin Firth, Andrew Scott, Daniel Mays, Adrian Scarborough, Jamie Parker, Nabhaan Rizwan, Justin Edwards, Gerran Howell, Richard McCabe, Robert Maaser, Claire Duburcq, John Hollingworth, Anson Boon, Jonny Lavelle, Michael Jibson, Chris Walley, Pip Carter, Paul Tinto, Andy Apollo, William Postlethwaite, Gabriel Akuwudike, Josef Davies, Spike Leighton, Adam Hugill, Benjamin Adams, Tommy French, Merlin Leonhardt, Jos Slovick, Jack Shalloo, Elliot Edusah, Jacob James Beswick, Daniel Attwell, Samson Cox-Vinell, Michael Rouse, Richard Dempsey, Phil Cheadle, Jonah Russell","Co-production Reino Unido-Estados Unidos; Amblin Partners, Neal Street Productions, DreamWorks SKG, New Republic Pictures (Distribuidora: Universal Pictures)",Bélico. Drama | I Guerra Mundial,"En lo más crudo de la Primera Guerra Mundial, dos jóvenes soldados británicos, Schofield (George MacKay) y Blake (Dean-Charles Chapman) reciben una misión aparentemente imposible. En una carrera contrarreloj, deberán atravesar el territorio enemigo para entregar un mensaje que evitará un mortífero ataque contra cientos de soldados, entre ellos el propio hermano de Blake.","['2019: 3 Premios Oscar: Mejor fotografía, sonido y efectos visuales. 10 nominaciones', '2019: 2 Globos de Oro: Mejor película drama y director. 3 nominaciones', '2019: Premios BAFTA: 7 premios inc. mejor película, director y film británico. 9 noms', '2019: National Board of Review (NBR): Mejor fotografía. Top 10 películas del año', '2019: American Film Institute (AFI): Top 10 - Mejores películas del año', '2019: Asociación de Críticos de Los Angeles: Nominada a Mejor fotografía y música', '2019: Critics Choice Awards: Mejor director (ex aequo), fotografía y montaje. 8 nom.', '2019: Sindicato de Productores (PGA): Mejor película', '2019: Sindicato de Directores (DGA): Nominada a Mejor director', '2019: Sindicato de Guionistas (WGA): Nominada a Mejor guion original', '2019: Asociación de Críticos de Chicago: Mejor fotografía. 5 nominaciones', '2019: Círculo de Críticos de San Francisco: Mejor fotografía. 6 nominaciones', '2019: Satellite Awards: Mejor fotografía. 8 nominaciones', '2020: Premios César: Nominada a mejor película extranjera', '2020: Premios David di Donatello: Nominada a mejor película extranjera']",7.8,42256,38,15,1,https://pics.filmaffinity.com/1917-960418215-mmed.jpg,../images/19172019.jpg,8.3,448364
432,Your Name,Kimi no na wa (Your Name.),2016,106 min.,Japón,Makoto Shinkai,Makoto Shinkai,Animación,CoMix Wave Films,Animación. Drama. Romance. Fantástico | Drama romántico. Historias cruzadas. Adolescencia,"Taki y Mitsuha descubren un día que durante el sueño sus cuerpos se intercambian, y comienzan a comunicarse por medio de notas. A medida que consiguen superar torpemente un reto tras otro, se va creando entre los dos un vínculo que poco a poco se convierte en algo más romántico. (FILMAFFINITY)","['2016: Premios Annie: Nominada a mejor director y film independiente', '2016: Festival de Sitges: Mejor film de animación', '2016: Asociación de Críticos de Los Angeles: Mejor largometraje de animación', '2016: Satellite Awards: Nominada a mejor largometraje de animación', '2016: London Film Festival: Nominada a Mejor película', '2017: Asociación de Críticos de Chicago: Nominada a mejor film de animación', '2017: Círculo de Críticos de San Francisco: Nominada a mejor film de animación']",7.8,23935,19,0,0,https://pics.filmaffinity.com/kimi_no_na_wa_your_name-612760352-mmed.jpg,../images/YourName2016.jpg,8.4,203117
433,Pink Floyd: El muro,The Wall,1982,99 min.,Reino Unido,Alan Parker,Roger Waters,"Animación, Bob Geldof, Jenny Wright, Christine Hargreaves, James Laurenson, Bob Hoskins, Eleanor David, Kevin McKeon, David Bringham, Alex McAvoy, Michael Ensign, Joanne Whalley, Albert Moses, Roger Waters, James Hazeldine, Margery Mason, Robert Bridges, Ellis Dayle, Ray Mort, Nell Campbell, Peter Jonfield",Metro-Goldwyn-Mayer (MGM),Musical. Drama. Fantástico. Animación | Surrealismo. Película de culto,"Pink, el cantante de un grupo musical, arrastra desde su infancia una serie de traumas debido a la dura educación que recibió. Cansado de todo lo que rodea su profesión, se acaba refugiando en las drogas como única opción para romper con el muro que él mismo ha creado a su alrededor. (FILMAFFINITY)",['1982: Premios BAFTA: Mejor canción original (Another Brick in the Wall) y sonido'],7.8,23036,2,3,1,https://pics.filmaffinity.com/the_wall-803804838-mmed.jpg,../images/PinkFloydElmuro1982.jpg,8.1,76637
434,Missing (Desaparecido),Missing,1982,122 min.,Estados Unidos,Costa-Gavras,"Donald E. Stewart , Costa-Gavras (Novela: Thomas Hauser)","Jack Lemmon, Sissy Spacek, Melanie Mayron, John Shea, Charles Cioffi, Richard Bradford, Janice Rule, David Clennon, Jerry Hardin, Martin Lasalle",Universal Pictures,Drama | Política. Basado en hechos reales. Dictadura chilena. Años 70,"Charles Horman (John Shea), un joven e idealista periodista norteamericano, desaparece de su domicilio en Santiago de Chile tras el golpe de Estado del general Augusto Pinochet (11-9-1973). Su mujer (Sissy Spacek) y su padre (Jack Lemmon), que se traslada allí desde los Estados Unidos, intentan averiguar su paradero y vivirán una auténtica odisea recorriendo las instituciones diplomáticas norteamericanas y tropezando con infinitas trabas burocráticas. (FILMAFFINITY)","['1982: Oscar: Mejor guión adaptado. 4 nominaciones, incluyendo mejor película', '1982: Globos de Oro: 5 nominaciones, incluyendo mejor película - Drama', '1982: Premios BAFTA: Mejor guión y mejor montaje. 7 nominaciones', '1982: Círculo de Críticos de Nueva York: Nominada a mejor película y mejor guión', '1982: Festival de Cannes: Palma de Oro (ex aequo) y mejor actor (Jack Lemmon)', '1982: Sindicato de Guionistas (WGA): Mejor guión adaptado drama', '1982: Premios David di Donatello: 5 nominaciones, incl. a mejor director extranjero']",7.8,14289,4,0,1,https://pics.filmaffinity.com/missing-587122709-mmed.jpg,../images/MissingDesaparecido1982.jpg,7.7,18768
435,El camino a casa,Wo de fu qin mu qin (The Road Home),1999,89 min.,China,Zhang Yimou,Shi Bao (Novela: Shi Bao),"Zhang Ziyi, Sun Honglei, Hao Zheng, Yuelin Zhao, Bin Li, Guifa Chang, Wencheng Sung, Qi Liu","Guangxi Film Studios, Columbia Pictures Film Production Asia",Romance. Drama | Drama romántico. Vida rural. Años 50,"Luo Yusheng es un hombre de negocios que regresa a su casa, en el norte de China, para asistir al funeral de su padre, el maestro del pueblo. La obsesión de su anciana madre sobre la escrupulosa observación de los ritos fúnebres le resulta inexplicable, pero acaba comprendiendo que el respeto a las milenarias tradiciones es vital tanto para su madre como para los habitantes del pueblo. Un drama sobre la tensión generacional, el respeto a los mayores y la superación de las viejas costumbres que conquistó a la crítica allá donde se estrenó. (FILMAFFINITY)","['2000: Festival de Berlín: Oso de Plata - Gran Premio del Jurado', '2001: Sundance: Premio del Público (Internacional)', '2001: Asociación de Críticos de Chicago: Nominada a Mejor película extranjera']",7.8,12867,7,0,0,https://pics.filmaffinity.com/wo_de_fu_qin_mu_qin_the_road_home-268760403-mmed.jpg,../images/Elcaminoacasa1999.jpg,7.8,12492
